BLOCK,DAY,MONTH,YEAR,ROW,PLANT,FLOWER,Height,Width,Weight,Druplets,Crumbliness,Comments,CODE (block# added to front),TREATMENT,POLLEN_DONOR,POLLINATORS,VISIT1,VISIT2,VISIT3,VISIT4,VISIT5,VISIT6,VISIT7,VISIT8,VISIT9,VISIT10,VISIT11,VISIT12,VISIT13,VISIT14,VISIT15,VISIT16,VISIT17,VISIT18,VISIT19,VISIT20,VISIT21,VISIT22,VISIT23,VISIT24,VISIT25,VISIT26,VISIT27,VISIT28,VISIT29,Total visits,TOTAL TIME,COMMENTS
KD6C_,22,1,2018,5_,2_,840,19.83,18.76,3.42,92,3,,KD6C_5_2_840,V,,Mixed,SP10,SP11,HN22,SP2,SP4,HP5,SP7,SP3,SP4,HP50,SP2,HP10,SP9,HP3,SP4,,,,,,,,,,,,,,,15,146,
KD6C_,22,1,2018,5_,2_,841,19.15,17.01,2.69,76,2,,KD6C_5_2_841,V,,Mixed,SN27,SP4,HN58,HP18,,,,,,,,,,,,,,,,,,,,,,,,,,4,107,
KD6C_,22,1,2018,5_,2_,842,19.27,17.91,3.27,92,3,,KD6C_5_2_842,V,,SB,SP36,SP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,
KD6C_,22,1,2018,5_,4_,843,14.1,13.17,1.03,65,1,,KD6C_5_4_843,V,,Mixed,SP5,SP24,SN15,SN10,SP6,HN15,SP6,HN37,SP3,HP3,,,,,,,,,,,,,,,,,,,,10,124,
KD6C_,22,1,2018,5_,4_,844,13.55,12.48,0.99,77,1,,KD6C_5_4_844,V,,HB,HP3,HP9,HP8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,
KD6C_,22,1,2018,5_,4_,845,15.76,16.22,1.63,42,1,,KD6C_5_4_845,V,,Mixed,SP7,SP6,SP7,SP12,SP6,SP3,HP9,HP21,HP10,SP4,HP6,HP7,HP7,,,,,,,,,,,,,,,,,13,105,
KD6C_,22,1,2018,5_,4_,846,14.2,15.64,1.18,40,1,,KD6C_5_4_846,V,,Mixed,SP11,HN54,SP9,HP7,HP4,HP7,HP4,,,,,,,,,,,,,,,,,,,,,,,7,96,
KD6C_,22,1,2018,5_,7_,847,15.65,20.76,2.73,51,2,,KD6C_5_7_847,V,,Mixed,HP3,HN29,SP11,HP2,,,,,,,,,,,,,,,,,,,,,,,,,,4,45,
KD6C_,22,1,2018,5_,7_,848,16.5,18.48,2.66,41,1,,KD6C_5_7_848,V,,Mixed,HP2,HP6,HN78,SN11,SP4,SP3,HP27,HP4,SP7,HP3,,,,,,,,,,,,,,,,,,,,10,145,
KD6C_,22,1,2018,5_,7_,849,19.53,17.95,3.12,60,1,,KD6C_5_7_849,V,,Mixed,HP2,HP3,HP5,HP2,HP8,HP49,SP2,HP6,HP27,SP4,HP4,SP3,HP3,,,,,,,,,,,,,,,,,13,118,
KD6C_,22,1,2018,8_,5_,850,22.09,19.2,4.08,106,2,,KD6C_8_5_850,V,,Mixed,HP3,SP2,SN19,SP4,SP22,SP14,SP10,,,,,,,,,,,,,,,,,,,,,,,7,74,
KD6C_,22,1,2018,8_,5_,851,16.25,19.55,2.58,35,1,,KD6C_8_5_851,V,,HB,HP9,HP4,HP10,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,
KD6C_,22,1,2018,8_,5_,852,20.71,20.71,4.00,94,2,,KD6C_8_5_852,V,,Mixed,HP6,HP71,HN54,HP2,SP21,,,,,,,,,,,,,,,,,,,,,,,,,5,154,
KD8_,22,1,2018,3_,3_,853,18.6,17.59,2.72,86,2,,KD8_3_3_853,V,,HB,HP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
KD8_,22,1,2018,3_,3_,854,20.17,19.39,3.93,95,3,,KD8_3_3_854,V,,Mixed,SP4,HP6,SP3,HP7,HP2,SP5,SN4,SP5,SN36,SP5,SP4,SP4,HP24,SP26,SP31,HP16,SP14,SP3,,,,,,,,,,,,18,199,
KD8_,22,1,2018,3_,3_,855,21.73,20.51,4.32,93,2,,KD8_3_3_855,V,,Mixed,HP10,HP18,HP12,HP6,HP2,SP14,SP3,HP4,SP11,HP14,SP3,HP8,HP7,,,,,,,,,,,,,,,,,13,112,
KD8_,22,1,2018,3_,3_,856,17.85,19.82,2.99,45,1,,KD8_3_3_856,V,,Mixed,SP18,SP13,SP5,HP4,SP4,HN21,,,,,,,,,,,,,,,,,,,,,,,,6,65,
KD8_,22,1,2018,3_,5_,857,11.17,15.08,0.77,15,1,,KD8_3_5_857,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,22,1,2018,3_,5_,858,19.92,19.57,3.50,79,2,,KD8_3_5_858,V,,Mixed,HP6,HP3,HP2,HP6,SP9,HP16,SP40,,,,,,,,,,,,,,,,,,,,,,,7,82,
KD8_,22,1,2018,3_,5_,859,21.37,21.1,4.49,113,3,,KD8_3_5_859,V,,Mixed,SP34,SP20,SP9,SP22,SP16,SP11,SP9,HP7,SP6,SP14,SP4,SP2,SP4,SP7,SP4,SP5,,,,,,,,,,,,,,16,174,
KD8_,22,1,2018,3_,5_,860,9.97,13.14,1.04,18,1,,KD8_3_5_860,V,,Mixed,HP3,HP2,HP12,SP11,HP9,HP12,HP6,,,,,,,,,,,,,,,,,,,,,,,7,55,
KD8_,22,1,2018,3_,8_,861,19.08,18.94,3.16,47,1,,KD8_3_8_861,V,,Mixed,HP4,SP5,SP6,SN16,HN35,,,,,,,,,,,,,,,,,,,,,,,,,5,66,
KD8_,22,1,2018,3_,8_,862,18.62,18.04,2.75,96,2,,KD8_3_8_862,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,22,1,2018,3_,8_,863,22.41,20.39,4.42,107,3,,KD8_3_8_863,V,,Mixed,HP4,HP2,HP4,HP12,HP31,HP5,HP1,HP40,HP31,HP45,HP28,HP16,SP3,SP31,,,,,,,,,,,,,,,,14,253,
KD8_,22,1,2018,3_,8_,864,22.74,20.48,4.70,103,3,,KD8_3_8_864,V,,SB,SP13,SP11,SP21,SP5,SP6,SP16,SP24,SP17,SP24,SP30,,,,,,,,,,,,,,,,,,,,10,167,
KD8_,22,1,2018,3_,2_,865,19.69,20.27,3.71,58,1,,KD8_3_2_865,V,,Mixed,SP3,HP16,SP16,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,
KD8_,22,1,2018,3_,2_,866,21.18,19.47,3.68,105,2,,KD8_3_2_866,V,,Mixed,HP4,HP3,HP31,HP11,HP19,SP3,SP11,HP6,SP9,SP26,,,,,,,,,,,,,,,,,,,,10,123,
KD8_,22,1,2018,3_,2_,867,21.45,19.92,4.09,95,2,,KD8_3_2_867,V,,SB,SP15,SP10,SP15,SP12,SP11,SP2,SP1,SP17,SN24,SP6,SP8,SP7,SP4,SN20,SP22,SP11,,,,,,,,,,,,,,16,185,
KD8_,23,1,2018,3_,15_,868,12.49,18.93,2.02,27,1,,KD8_3_15_868,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,23,1,2018,3_,15_,869,20.14,20.58,3.89,78,2,,KD8_3_15_869,V,,HB,HP6,HP7,HP9,HP3,HN22,HP9,HN3,HP3,HP29,,,,,,,,,,,,,,,,,,,,,9,91,
KD8_,23,1,2018,3_,15_,870,21.71,20.59,4.65,106,3,,KD8_3_15_870,V,,HB,HP8,HP11,HP5,HP9,HP19,HP15,,,,,,,,,,,,,,,,,,,,,,,,6,67,
KD8_,23,1,2018,3_,11_,871,14.97,13.69,1.18,67,2,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD8_3_11_871,V,,Mixed,SN31,SP27,HP5,HP3,SP2,SP26,HP6,SP23,HP5,SP2,SP5,HP2,HP4,SP3,SP12,SP2,,,,,,,,,,,,,,16,158,
KD8_,23,1,2018,3_,11_,872,11.77,13.17,0.93,46,3,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD8_3_11_872,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,23,1,2018,3_,11_,873,10.54,12.63,0.93,48,2,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD8_3_11_873,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,23,1,2018,3_,11_,874,11.05,13.08,0.92,51,1,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD8_3_11_874,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,23,1,2018,3_,11_,875,14.22,14.02,1.25,73,1,,KD8_3_11_875,V,,Mixed,HN20,HP9,HP3,HP2,HP3,HP2,SP3,HP4,,,,,,,,,,,,,,,,,,,,,,8,46,Fruit appears to have aborted early
KD8_,23,1,2018,3_,11_,876,13.46,12.02,1.01,70,2,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD8_3_11_876,V,,Mixed,HP15,HP4,SP4,HP20,,,,,,,,,,,,,,,,,,,,,,,,,,4,43,
KD8_,23,1,2018,5_,4_,877,16.68,20.42,3.43,61,2,,KD8_5_4_877,V,,SB,SP8,SP8,SP7,SP3,SP12,SP7,SP12,SP16,,,,,,,,,,,,,,,,,,,,,,8,73,
KD8_,23,1,2018,5_,4_,878,19.97,19.26,3.79,83,2,,KD8_5_4_878,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,23,1,2018,5_,4_,879,19.48,17.39,2.81,53,1,,KD8_5_4_879,V,,Mixed,SN26,SP11,SP6,HP4,SP22,SP2,,,,,,,,,,,,,,,,,,,,,,,,6,71,
KD8_,23,1,2018,5_,4_,880,21.99,18.99,4.20,94,3,,KD8_5_4_880,V,,Mixed,SP3,HP6,HP11,HP4,HN24,HP4,HP17,SP61,,,,,,,,,,,,,,,,,,,,,,8,130,
KD8_,23,1,2018,5_,17_,881,18.89,18.39,2.64,62,2,,KD8_5_17_881,V,,HB,HN80,HP37,HP5,HP2,,,,,,,,,,,,,,,,,,,,,,,,,,4,124,
KD8_,23,1,2018,5_,17_,882,21.45,20.65,3.96,92,2,,KD8_5_17_882,V,,HB,HP2,HP9,HP6,HP14,HP35,,,,,,,,,,,,,,,,,,,,,,,,,5,66,
KD8_,23,1,2018,5_,17_,883,19.69,18.7,3.28,94,3,,KD8_5_17_883,V,,HB,HP4,HP6,HN21,HP3,HP5,HP3,HP21,HP2,HP3,,,,,,,,,,,,,,,,,,,,,9,68,
KD8_,23,1,2018,1_,1_,884,0,0,0.00,0,0,,KD8_1_1_884,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD8_,23,1,2018,1_,1_,885,0,0,0.00,0,0,,KD8_1_1_885,V,,HB,HP4,HP2,HP1,HP2,HP7,HP2,HP61,,,,,,,,,,,,,,,,,,,,,,,7,79,Snapped
KD8_,23,1,2018,1_,1_,886,0,0,0.00,0,0,,KD8_1_1_886,V,,HB,HP2,HP20,HP5,HP10,HP3,HP4,HP5,HP4,HP2,,,,,,,,,,,,,,,,,,,,,9,55,Snapped
KD8_,23,1,2018,1_,5_,887,20.17,19.51,3.79,83,2,,KD8_1_5_887,V,,Mixed,HP34,SP10,SP13,HN48,HP15,HP26,SP3,HP2,HP1,,,,,,,,,,,,,,,,,,,,,9,152,
KD8_,23,1,2018,1_,5_,888,19.75,18.67,3.00,42,1,,KD8_1_5_888,V,,HB,HP12,HN31,HP11,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54,
KD8_,23,1,2018,1_,5_,889,18.88,20.51,2.89,41,1,,KD8_1_5_889,V,,Mixed,SN55,HP17,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,72,
KD8_,23,1,2018,1_,5_,890,18.9,19.13,2.60,44,1,,KD8_1_5_890,V,,Mixed,HN58,SP10,SP22,SP6,SP17,SP5,HP4,SP43,HP3,SP7,HP6,HP2,,,,,,,,,,,,,,,,,,12,183,
KD8_,23,1,2018,1_,5_,891,20.18,22.96,4.98,92,3,,KD8_1_5_891,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,23,1,2018,1_,5_,892,20.58,18.96,3.25,55,1,,KD8_1_5_892,V,,Mixed,HP13,HP4,SP12,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29,
KD8_,23,1,2018,1_,8_,893,18.82,16.29,2.53,105,3,,KD8_1_8_893,V,,Mixed,SP5,SP17,SP2,HP7,SP4,SP11,HP9,SP12,SP4,HP5,,,,,,,,,,,,,,,,,,,,10,76,
KD8_,23,1,2018,1_,8_,894,17.33,14.92,1.85,87,3,,KD8_1_8_894,V,,Mixed,HP6,HP4,HP7,HP13,SP5,HP14,SP6,SP2,HP5,SP2,SP44,HP23,SP2,,,,,,,,,,,,,,,,,13,133,
KD8_,23,1,2018,1_,8_,895,17.95,15.49,1.93,74,3,,KD8_1_8_895,V,,Mixed,SP19,SP6,HP2,HP28,SP10,HP10,SP7,SP6,SP7,SP23,SN43,,,,,,,,,,,,,,,,,,,11,161,
KD8_,23,1,2018,1_,14_,896,10.55,15.43,1.24,32,1,,KD8_1_14_896,V,,HB,HN66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,66,
KD8_,23,1,2018,1_,14_,897,14.53,12.32,0.80,53,1,,KD8_1_14_897,V,,HB,HN47,HP9,HP2,HP2,HP3,HP2,HP4,,,,,,,,,,,,,,,,,,,,,,,7,69,
KD8_,23,1,2018,1_,14_,898,8.42,10.02,0.26,17,1,,KD8_1_14_898,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD8_,23,1,2018,1_,14_,899,17.66,15.59,1.49,65,1,,KD8_1_14_899,V,,HB,HN60,HP2,HP2,HP3,HP2,HP3,HP1,HP2,,,,,,,,,,,,,,,,,,,,,,8,75,
KD8_,23,1,2018,1_,14_,900,12.71,12.39,0.82,42,1,,KD8_1_14_900,V,,HB,HP5,HP3,HP2,HP3,HP1,HP34,HP3,HP4,HP2,HP5,HP2,,,,,,,,,,,,,,,,,,,11,64,
KD5D_,23,1,2018,1_,23_,901,4.94,6.03,0.03,3,1,,KD5D_1_23_901,V,,SB,SP16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,
KD5D_,23,1,2018,1_,23_,902,13.18,21.39,2.18,25,1,,KD5D_1_23_902,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD5D_,23,1,2018,1_,23_,903,14.92,22.05,2.61,40,1,,KD5D_1_23_903,V,,Mixed,SP9,HP12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,
KD5D_,23,1,2018,1_,23_,904,15.91,19.3,2.23,50,1,,KD5D_1_23_904,V,,Mixed,SP35,SP43,HP2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,80,
KD5D_,23,1,2018,1_,23_,905,9.88,20.39,1.48,27,1,,KD5D_1_23_905,V,,HB,HN40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40,
KD5D_,23,1,2018,1_,23_,906,9.69,20.42,0.97,10,1,,KD5D_1_23_906,V,,HB,HP6,HP52,HP32,HN78,,,,,,,,,,,,,,,,,,,,,,,,,,4,168,
KD5D_,23,1,2018,3_,2_,907,20.96,19.15,3.14,75,1,,KD5D_3_2_907,V,,SB,SP14,SP17,SP21,SP14,SN41,SN11,SN4,SP8,SP36,SP11,SP5,SP32,SP17,SP5,,,,,,,,,,,,,,,,14,236,
KD5D_,23,1,2018,3_,2_,908,20.47,17.65,3.07,100,2,,KD5D_3_2_908,V,,Mixed,HP5,HP19,HP5,SP16,SP26,SP10,HP4,SP3,SP7,SP35,HP16,SP2,SP5,,,,,,,,,,,,,,,,,13,153,
KD5D_,23,1,2018,3_,2_,909,21.51,17.88,3.23,103,3,,KD5D_3_2_909,V,,Mixed,HP10,HP12,HP14,SP12,HP47,SP11,SP5,HP2,SP3,,,,,,,,,,,,,,,,,,,,,9,116,
KD5D_,23,1,2018,3_,8_,910,15.36,19.25,2.64,63,2,,KD5D_3_8_910,V,,Mixed,HP1,HP2,SP3,SP4,HP8,SP72,,,,,,,,,,,,,,,,,,,,,,,,6,90,
KD5D_,23,1,2018,3_,8_,911,22.12,18.86,3.40,104,3,,KD5D_3_8_911,V,,Mixed,HP9,HP12,HP9,HP3,HP2,HP2,HP6,SP3,SP21,SP5,SP4,HP10,SP21,HP62,,,,,,,,,,,,,,,,14,169,
KD5D_,23,1,2018,3_,8_,912,16.22,19.79,2.82,48,2,,KD5D_3_8_912,V,,Mixed,HP2,HP3,HP12,HN104,SP4,SP5,HP21,HP31,SP6,,,,,,,,,,,,,,,,,,,,,9,188,
KD5D_,23,1,2018,3_,8_,913,13.26,15.11,1.06,16,1,,KD5D_3_8_913,V,,Mixed,HP4,SP4,SP3,SP3,SP7,SP1,SP3,HP7,,,,,,,,,,,,,,,,,,,,,,8,32,
KD5D_,23,1,2018,3_,14_,914,6.32,8.05,0.11,19,1,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD5D_3_14_914,V,,SB,SP7,SP4,SP8,SP9,SP19,SP4,SP7,,,,,,,,,,,,,,,,,,,,,,,7,58,
KD5D_,23,1,2018,3_,14_,915,11.52,9.99,0.42,51,1,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD5D_3_14_915,V,,SB,SP9,SP7,SP25,,,,,,,,,,,,,,,,,,,,,,,,,,,3,41,
KD5D_,23,1,2018,3_,14_,916,11.93,10.01,0.52,60,1,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD5D_3_14_916,V,,Mixed,SP7,HP11,HP4,HP3,HP44,HP4,HP18,SP10,HP6,SP13,,,,,,,,,,,,,,,,,,,,10,120,
KD5D_,23,1,2018,3_,14_,917,9.65,10.04,0.30,41,1,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD5D_3_14_917,V,,HB,HP6,HP12,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,
KD5D_,23,1,2018,3_,14_,918,12.8,10.74,0.63,74,1,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD5D_3_14_918,V,,Mixed,HP2,SP4,HP13,HP2,SP10,HP4,,,,,,,,,,,,,,,,,,,,,,,,6,35,
KD6D_,24,1,2018,30_,1_,919,21.48,16.29,2.55,63,1,,KD6D_30_1_919,V,,Mixed,SP6,HP14,HN36,HP2,HP14,,,,,,,,,,,,,,,,,,,,,,,,,5,72,
KD6D_,24,1,2018,30_,1_,920,18.39,19.5,2.78,74,2,,KD6D_30_1_920,V,,HB,HP22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,
KD6D_,24,1,2018,30_,1_,921,21.96,18.66,3.58,107,3,,KD6D_30_1_921,V,,Mixed,HP11,HN139,HP22,SP15,HP4,HP35,SP5,SP11,SP34,HP82,HP6,HP48,HP2,,,,,,,,,,,,,,,,,13,414,
KD6D_,24,1,2018,30_,1_,922,21.42,20.01,3.57,104,3,,KD6D_30_1_922,V,,Mixed,HP3,HP4,SP21,HP5,HP4,HP3,HP10,SP6,HP14,HP6,HP3,HP7,HP9,HP8,HP11,HP17,2HP3,HP4,,,,,,,,,,,,18,158,
KD6D_,24,1,2018,30_,3_,923,0,0,0.00,0,0,,KD6D_30_3_923,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD6D_,24,1,2018,30_,3_,924,0,0,0.00,0,0,,KD6D_30_3_924,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD6D_,24,1,2018,30_,3_,925,0,0,0.00,0,0,,KD6D_30_3_925,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD6D_,24,1,2018,30_,3_,926,0,0,0.00,0,0,,KD6D_30_3_926,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD6D_,24,1,2018,30_,3_,927,0,0,0.00,0,0,,KD6D_30_3_927,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD6D_,24,1,2018,30_,3_,928,0,0,0.00,0,0,,KD6D_30_3_928,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD6D_,24,1,2018,30_,3_,929,0,0,0.00,0,0,,KD6D_30_3_929,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD6D_,24,1,2018,30_,3_,930,0,0,0.00,0,0,,KD6D_30_3_930,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
KD6D_,24,1,2018,28_,4_,931,12.36,10.21,0.60,57,2,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD6D_28_4_931,V,,Mixed,HP2,HP7,HP45,SP6,SP31,SP10,SP3,HP3,HP3,SP40,SP14,HP45,HP2,,,,,,,,,,,,,,,,,13,211,
KD6D_,24,1,2018,28_,4_,932,6.57,8.14,0.14,17,1,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD6D_28_4_932,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
KD6D_,24,1,2018,28_,4_,933,13.59,11.38,0.81,57,2,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD6D_28_4_933,V,,HB,HP3,HP2,HP3,HP2,HP1,HP12,HP21,HP3,HP2,,,,,,,,,,,,,,,,,,,,,9,49,
KD6D_,24,1,2018,28_,4_,934,14.69,11.5,1.01,73,2,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD6D_28_4_934,V,,Mixed,HP24,HN26,HP30,SP30,HP5,HP9,,,,,,,,,,,,,,,,,,,,,,,,6,124,
KD6D_,24,1,2018,28_,4_,935,14.04,11.91,1.06,69,2,Fruit appears to have aborted before fully ripe due to broken/damaged stem,KD6D_28_4_935,V,,Mixed,HP6,HP14,HP6,HP11,HP10,HP25,SP7,HP6,,,,,,,,,,,,,,,,,,,,,,8,85,Fruit appears to have aborted early
KD6D_,24,1,2018,28_,8_,936,20.24,18.43,3.15,103,3,,KD6D_28_8_936,V,,Mixed,HP3,HP6,HP12,HP4,HP8,SP7,HP4,,,,,,,,,,,,,,,,,,,,,,,7,44,
KD6D_,24,1,2018,28_,8_,937,21.31,18.36,3.07,103,2,,KD6D_28_8_937,V,,Mixed,SP8,HP9,HP3,HP11,HP6,SP4,,,,,,,,,,,,,,,,,,,,,,,,6,41,
KD6D_,24,1,2018,28_,8_,938,22.26,18.93,3.76,107,2,,KD6D_28_8_938,V,,Mixed,HP4,HN15,SN15,SP4,HP5,HP6,SP52,HP21,HP2,SN38,HP2,SP21,,,,,,,,,,,,,,,,,,12,185,
KD6D_,24,1,2018,28_,8_,939,21.27,17.5,3.43,109,3,,KD6D_28_8_939,V,,Mixed,HP9,HP31,HP4,SP48,HP2,HP2,SP2,HP4,,,,,,,,,,,,,,,,,,,,,,8,102,
KD6D_,24,1,2018,28_,8_,940,21.77,18.97,3.63,104,3,,KD6D_28_8_940,V,,Mixed,HP18,HP9,HP6,HP7,HP16,HP38,HP4,SP8,HP7,SP2,SP13,HP4,,,,,,,,,,,,,,,,,,12,132,
KD6D_,24,1,2018,28_,11_,941,6.13,7.4,0.06,10,1,,KD6D_28_11_941,V,,HB,HP16,HP2,HP8,HP3,HP2,,,,,,,,,,,,,,,,,,,,,,,,,5,31,
KD6D_,24,1,2018,28_,11_,942,5.93,6.53,0.05,6,1,,KD6D_28_11_942,V,,HB,HP2,HP4,HP7,HN25,HP10,HP2,HP4,HP2,,,,,,,,,,,,,,,,,,,,,,8,56,
KD6D_,24,1,2018,25_,13_,943,0,0,0.00,0,0,,KD6D_25_13_943,V,,HB,HP54,HP6,HP2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,62,Snapped
KD6D_,24,1,2018,25_,13_,944,0,0,0.00,0,0,,KD6D_25_13_944,V,,HB,HN27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,Snapped
KD6D_,24,1,2018,25_,13_,945,0,0,0.00,0,0,,KD6D_25_13_945,V,,HB,HP81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,81,Snapped
KD6D_,24,1,2018,25_,13_,946,0,0,0.00,0,0,,KD6D_25_13_946,V,,HB,HP1,HN97,HP4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,102,Snapped
KD6D_,24,1,2018,25_,6_,947,21.66,21.07,3.82,98,2,,KD6D_25_6_947,V,,Mixed,HP2,SP5,HP2,SP5,HP14,HP3,HP6,SP4,HP16,SP5,SP10,SP3,SP8,SP7,,,,,,,,,,,,,,,,14,90,
KD6D_,24,1,2018,25_,6_,948,19.9,18.98,3.36,100,1,,KD6D_25_6_948,V,,Mixed,SP2,SP2,SP3,HP4,SP3,SP4,HP2,SN11,HP2,HP3,SP20,SP27,SP2,SP5,,,,,,,,,,,,,,,,14,90,
KD6D_,24,1,2018,25_,6_,949,19.12,18.21,2.89,81,1,,KD6D_25_6_949,V,,Mixed,SP9,HP7,HP5,HP3,HP4,HP29,HP4,SP13,HP2,SP2,SP4,,,,,,,,,,,,,,,,,,,11,82,
KD6D_,24,1,2018,25_,1_,950,22.68,18.16,3.71,114,2,,KD6D_25_1_950,V,,Mixed,SP9,HN26,HP3,SP8,SP2,SP1,SP2,SP1,HP4,HP45,SP3,,,,,,,,,,,,,,,,,,,11,104,
KD6D_,24,1,2018,25_,1_,951,20.96,17.78,3.19,112,1,,KD6D_25_1_951,V,,Mixed,HP2,SP10,SP4,SP3,HP3,HP2,HP10,SP14,SP4,v6,HP9,HP6,HP2,,,,,,,,,,,,,,,,,13,75,
KD6D_,24,1,2018,25_,1_,952,21.01,19.77,4.08,109,2,,KD6D_25_1_952,V,,Mixed,HP10,HP3,HP4,HP3,SP3,SP2,HN77,,,,,,,,,,,,,,,,,,,,,,,7,102,
KD6D_,24,1,2018,25_,1_,953,20.41,18.75,3.62,68,2,,KD6D_25_1_953,V,,Mixed,HN138,HP15,SP2,HP2,SP1,SP4,,,,,,,,,,,,,,,,,,,,,,,,6,162,
KD6D_,24,1,2018,23_,3_,954,0,0,0.00,0,0,,KD6D_23_3_954,V,,Mixed,SP13,SP16,SN24,SP8,SP2,SP2,SP8,HP26,,,,,,,,,,,,,,,,,,,,,,8,99,Snapped
KD6D_,24,1,2018,23_,3_,955,0,0,0.00,0,0,,KD6D_23_3_955,V,,Mixed,HP6,HP7,SN12,HP19,HP4,HP1,SP22,SP3,SP6,SP2,SP6,HP3,,,,,,,,,,,,,,,,,,12,91,Snapped
KD6D_,24,1,2018,23_,3_,956,0,0,0.00,0,0,,KD6D_23_3_956,V,,Mixed,HP4,HP6,HP4,HP2,SP6,HP2,SP21,HP3,HP3,SP7,SN19,SN21,,,,,,,,,,,,,,,,,,12,98,Snapped
KD6D_,24,1,2018,23_,3_,957,0,0,0.00,0,0,,KD6D_23_3_957,V,,Mixed,HP10,HP6,HP2,HP6,HP34,HP4,SP2,SP15,,,,,,,,,,,,,,,,,,,,,,8,79,Snapped
KD6D_,24,1,2018,23_,3_,958,0,0,0.00,0,0,,KD6D_23_3_958,V,,Mixed,HP8,HP7,HP9,HP7,SP2,HN26,HP6,HP28,,,,,,,,,,,,,,,,,,,,,,8,93,Snapped
KD6D_,24,1,2018,20_,8_,959,23.54,21.1,4.20,104,3,,KD6D_20_8_959,V,,HB,HP5,HP20,HP3,HP8,HP35,,,,,,,,,,,,,,,,,,,,,,,,,5,71,
KD6D_,24,1,2018,20_,8_,960,12.21,20.14,1.33,29,1,,KD6D_20_8_960,V,,HB,HP1,HP2,HP15,HP3,HP2,HP2,HP3,HP2,HP13,,,,,,,,,,,,,,,,,,,,,9,43,
