"","BLOCK","DAY","MONTH","YEAR","ROW","PLANT","FLOWER","Height","Width","Weight","Druplets","Crumbliness","Tag","TREATMENT","POLLINATORS","Total.visits","TOTAL.TIME","variable","value","poll.sp","v.d","ord.v","log.vd","sqrt.vd"
"757","KD5D_",26,1,2018,"1_","12_",1052,18.76,17.5,2.38,92,2,"KD5D_1_12_1052","V","Mixed",6,112,"VISIT2","HP60","H",60,2,4.0943445622221,7.74596669241483
"758","KD5D_",26,1,2018,"1_","12_",1053,18.08,17.56,2.44,78,3,"KD5D_1_12_1053","V","Mixed",20,157,"VISIT2","HP2","H",2,2,0.693147180559945,1.4142135623731
"760","KD5D_",26,1,2018,"1_","12_",1055,17.17,17.53,2.11,86,3,"KD5D_1_12_1055","V","Mixed",11,208,"VISIT2","HN29","H",29,2,3.36729582998647,5.3851648071345
"761","KD5C_",26,1,2018,"25_","3_",1056,9.28,14.54,0.82,12,1,"KD5C_25_3_1056","V","HB",7,88,"VISIT2","HP2","H",2,2,0.693147180559945,1.4142135623731
"762","KD5C_",26,1,2018,"25_","3_",1057,15.97,16.7,1.83,27,1,"KD5C_25_3_1057","V","HB",10,131,"VISIT2","HP2","H",2,2,0.693147180559945,1.4142135623731
"763","KD5C_",26,1,2018,"25_","3_",1058,22.28,18.95,3.84,87,2,"KD5C_25_3_1058","V","HB",6,63,"VISIT2","HP5","H",5,2,1.6094379124341,2.23606797749979
"764","KD5C_",26,1,2018,"25_","3_",1059,22.25,18.21,3.88,97,2,"KD5C_25_3_1059","V","Mixed",16,186,"VISIT2","HP3","H",3,2,1.09861228866811,1.73205080756888
"765","KD5C_",26,1,2018,"34_","2_",1066,17.04,16.53,2.27,90,3,"KD5C_34_2_1066","V","Mixed",14,172,"VISIT2","HP22","H",22,2,3.09104245335832,4.69041575982343
"766","KD5C_",26,1,2018,"34_","2_",1067,11.29,14.6,1.29,18,1,"KD5C_34_2_1067","V","HB",10,120,"VISIT2","HP41","H",41,2,3.71357206670431,6.40312423743285
"767","KD5C_",26,1,2018,"34_","2_",1068,18.28,15.65,2.29,75,2,"KD5C_34_2_1068","V","Mixed",11,113,"VISIT2","HP16","H",16,2,2.77258872223978,4
"768","KD5C_",26,1,2018,"34_","2_",1069,15.61,14.64,1.8,78,3,"KD5C_34_2_1069","V","HB",5,148,"VISIT2","HN66","H",66,2,4.18965474202643,8.12403840463596
"770","KD12B_",21,2,2018,"9_","2_",1218,20.31,18.51,3.76,103,2,"KD12B_9_2_1218","V","HB",3,50,"VISIT2","HP5","H",5,2,1.6094379124341,2.23606797749979
"771","KD12B_",21,2,2018,"9_","2_",1219,19.43,19.67,3.73,93,3,"KD12B_9_2_1219","V","Mixed",5,82,"VISIT2","SP3","S",3,2,1.09861228866811,1.73205080756888
"772","KD12B_",21,2,2018,"7_","3_",1220,15.38,16.93,1.88,55,1,"KD12B_7_3_1220","V","HB",3,14,"VISIT2","HP2","H",2,2,0.693147180559945,1.4142135623731
"774","KD12B_",21,2,2018,"7_","3_",1222,19.7,19.22,3.1,99,2,"KD12B_7_3_1222","V","HB",10,68,"VISIT2","HP26","H",26,2,3.25809653802148,5.09901951359278
"775","KD12B_",21,2,2018,"7_","4_",1223,19.2,21.28,3.49,72,1,"KD12B_7_4_1223","V","HB",3,86,"VISIT2","HP7","H",7,2,1.94591014905531,2.64575131106459
"778","KD12B_",21,2,2018,"2_","8_",1226,20.35,19.11,3.63,98,2,"KD12B_2_8_1226","V","Mixed",5,80,"VISIT2","HP13","H",13,2,2.56494935746154,3.60555127546399
"780","KD12B_",22,2,2018,"2_","3_",1228,19.87,17.59,2.87,100,2,"KD12B_2_3_1228","V","Mixed",3,64,"VISIT2","SN33","S",33,2,3.49650756146648,5.74456264653803
"781","KD12B_",22,2,2018,"2_","3_",1229,22.26,19.59,4.15,107,2,"KD12B_2_3_1229","V","Mixed",10,199,"VISIT2","HP15","H",15,2,2.70805020110221,3.87298334620742
"782","KD12B_",22,2,2018,"2_","3_",1230,20.64,17.91,3.31,115,2,"KD12B_2_3_1230","V","HB",10,116,"VISIT2","HP12","H",12,2,2.484906649788,3.46410161513775
"783","KD12B_",22,2,2018,"5_","5_",1231,18.71,18.41,3.21,78,3,"KD12B_5_5_1231","V","Mixed",3,133,"VISIT2","HN44","H",44,2,3.78418963391826,6.6332495807108
"784","KD12B_",22,2,2018,"5_","5_",1232,18.26,19.26,3.22,80,3,"KD12B_5_5_1232","V","Mixed",5,67,"VISIT2","HP5","H",5,2,1.6094379124341,2.23606797749979
"785","KD12B_",22,2,2018,"5_","5_",1233,18.78,19.32,3.12,72,2,"KD12B_5_5_1233","V","Mixed",3,40,"VISIT2","SP17","S",17,2,2.83321334405622,4.12310562561766
"786","KD12B_",22,2,2018,"5_","5_",1234,16.89,17.95,2.88,68,2,"KD12B_5_5_1234","V","Mixed",3,104,"VISIT2","HP3","H",3,2,1.09861228866811,1.73205080756888
"787","KD12B_",22,2,2018,"5_","8_",1235,16.31,16.06,2.01,75,2,"KD12B_5_8_1235","V","SB",3,34,"VISIT2","SP17","S",17,2,2.83321334405622,4.12310562561766
"792","KD12B_",23,2,2018,"2_","1_",1240,22.78,21.08,4.45,102,2,"KD12B_2_1_1240","V","SB",3,47,"VISIT2","SP15","S",15,2,2.70805020110221,3.87298334620742
"795","KD12B_",23,2,2018,"2_","1_",1243,24.42,22.29,5.02,113,2,"KD12B_2_1_1243","V","SB",3,16,"VISIT2","SP5","S",5,2,1.6094379124341,2.23606797749979
"954","24I_",NA,NA,2017,"46_","2_",704,14.03,17.05,1.95,46,2,"24I_46_2_704","V","HB",5,93,"VISIT3","HN3","H",3,3,1.09861228866811,1.73205080756888
"955","24I_",NA,NA,2017,"46_","2_",705,18.05,17.24,3.32,81,1,"24I_46_2_705","V","HB",4,53,"VISIT3","HN2","H",2,3,0.693147180559945,1.4142135623731
"956","24I_",NA,NA,2017,"46_","2_",706,19.65,18.14,3.39,92,2,"24I_46_2_706","V","HB",3,50,"VISIT3","HP2","H",2,3,0.693147180559945,1.4142135623731
"957","24I_",NA,NA,2017,"46_","4_",707,15.86,17.95,2.84,53,1,"24I_46_4_707","V","HB",3,77,"VISIT3","HN3","H",3,3,1.09861228866811,1.73205080756888
"958","24I_",NA,NA,2017,"46_","4_",708,24.36,20.48,4.38,126,3,"24I_46_4_708","V","HB",5,78,"VISIT3","HP5","H",5,3,1.6094379124341,2.23606797749979
"961","24I_",NA,NA,2017,"46_","4_",711,16.89,17.45,2.66,67,2,"24I_46_4_711","V","Mixed",7,95,"VISIT3","HN5","H",5,3,1.6094379124341,2.23606797749979
"962","24I_",NA,NA,2017,"46_","4_",712,12.7,16.54,2.93,46,1,"24I_46_4_712","V","SB",4,78,"VISIT3","SP15","S",15,3,2.70805020110221,3.87298334620742
"963","24I_",NA,NA,2017,"46_","17_",719,17.19,18.9,3.11,82,2,"24I_46_17_719","V","HB",6,118,"VISIT3","HP12","H",12,3,2.484906649788,3.46410161513775
"965","24I_",NA,NA,2017,"46_","17_",721,19.72,17.37,2.08,31,1,"24I_46_17_721","V","HB",4,52,"VISIT3","HP4","H",4,3,1.38629436111989,2
"967","24I_",NA,NA,2017,"46_","17_",723,16.32,19.86,3.04,64,1,"24I_46_17_723","V","HB",6,94,"VISIT3","HP20","H",20,3,2.99573227355399,4.47213595499958
"968","24I_",NA,NA,2017,"46_","27_",728,17.24,15.44,2.21,69,2,"24I_46_27_728","V","Mixed",6,349,"VISIT3","HP17","H",17,3,2.83321334405622,4.12310562561766
"970","24I_",NA,NA,2017,"46_","27_",730,17.46,14.56,1.96,52,2,"24I_46_27_730","V","HB",5,153,"VISIT3","HP26","H",26,3,3.25809653802148,5.09901951359278
"971","24I_",NA,NA,2017,"46_","27_",731,13.27,13.86,1.29,56,1,"24I_46_27_731","V","HB",6,143,"VISIT3","HP4","H",4,3,1.38629436111989,2
"973","24I_",NA,NA,2017,"46_","27_",733,16.78,16.17,2.25,67,2,"24I_46_27_733","V","Mixed",4,123,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"974","24I_",NA,NA,2017,"6_","1_",734,23.22,20.64,3.62,107,2,"24I_6_1_734","V","HB",4,26,"VISIT3","HP4","H",4,3,1.38629436111989,2
"976","24I_",NA,NA,2017,"6_","1_",736,21.92,19.92,3.08,112,2,"24I_6_1_736","V","Mixed",13,113,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"978","24I_",NA,NA,2017,"6_","1_",738,7.61,14.6,0.75,13,1,"24I_6_1_738","V","HB",6,56,"VISIT3","HP7","H",7,3,1.94591014905531,2.64575131106459
"979","24I_",NA,NA,2017,"6_","1_",739,19.01,18.13,2.56,76,2,"24I_6_1_739","V","HB",5,42,"VISIT3","HP7","H",7,3,1.94591014905531,2.64575131106459
"986","24I_",NA,NA,2017,"6_","12_",748,5.49,11.97,0.29,6,1,"24I_6_12_748","V","Mixed",4,41,"VISIT3","HP2","H",2,3,0.693147180559945,1.4142135623731
"990","24I_",NA,NA,2017,"6_","26_",752,21.89,19.62,3.46,112,3,"24I_6_26_752","V","Mixed",7,75,"VISIT3","HP11","H",11,3,2.39789527279837,3.3166247903554
"991","24I_",NA,NA,2017,"6_","26_",753,21.9,19.83,3.52,99,3,"24I_6_26_753","V","SB",3,34,"VISIT3","SP6","S",6,3,1.79175946922805,2.44948974278318
"993","24I_",NA,NA,2017,"6_","26_",755,19.09,18.4,2.77,92,1,"24I_6_26_755","V","HB",3,66,"VISIT3","HP4","H",4,3,1.38629436111989,2
"996","24I_",NA,NA,2017,"46_","24_",758,14.91,16.76,1.82,54,1,"24I_46_24_758","V","Mixed",5,108,"VISIT3","HP12","H",12,3,2.484906649788,3.46410161513775
"997","24I_",NA,NA,2017,"46_","24_",759,14.45,13.79,1.5,42,1,"24I_46_24_759","V","Mixed",5,43,"VISIT3","SP6","S",6,3,1.79175946922805,2.44948974278318
"998","24I_",NA,NA,2017,"46_","24_",760,16.27,17.22,2.45,59,2,"24I_46_24_760","V","Mixed",6,60,"VISIT3","HP18","H",18,3,2.89037175789616,4.24264068711928
"1000","24I_",NA,NA,2017,"46_","30_",763,17.26,16.99,2.85,96,2,"24I_46_30_763","V","Mixed",7,221,"VISIT3","HN36","H",36,3,3.58351893845611,6
"1002","24I_",NA,NA,2017,"46_","37_",765,17.56,15.96,2.38,71,2,"24I_46_37_765","V","HB",3,73,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"1003","24I_",NA,NA,2017,"46_","37_",766,13.78,15.99,1.5,42,1,"24I_46_37_766","V","Mixed",3,54,"VISIT3","HP24","H",24,3,3.17805383034795,4.89897948556636
"1005","24I_",NA,NA,2017,"46_","37_",768,17.98,16.21,2.36,56,2,"24I_46_37_768","V","HB",7,223,"VISIT3","HP7","H",7,3,1.94591014905531,2.64575131106459
"1006","KD5D_",18,1,2018,"1_","15_",782,25.44,22.67,5.81,123,3,"KD5D_1_15_782","V","Mixed",14,206,"VISIT3","SP5","S",5,3,1.6094379124341,2.23606797749979
"1007","KD5D_",18,1,2018,"1_","15_",783,21.4,22.83,4.74,83,2,"KD5D_1_15_783","V","Mixed",12,262,"VISIT3","SP15","S",15,3,2.70805020110221,3.87298334620742
"1008","KD5D_",18,1,2018,"1_","15_",784,24.73,22.01,5.53,105,3,"KD5D_1_15_784","V","Mixed",9,212,"VISIT3","HN7","H",7,3,1.94591014905531,2.64575131106459
"1009","KD5D_",18,1,2018,"1_","17_",785,20.68,20.17,3.82,87,2,"KD5D_1_17_785","V","Mixed",9,126,"VISIT3","SP15","S",15,3,2.70805020110221,3.87298334620742
"1010","KD5D_",18,1,2018,"1_","17_",786,21.77,19.59,3.97,91,3,"KD5D_1_17_786","V","Mixed",12,213,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"1011","KD5D_",18,1,2018,"1_","17_",787,21.21,19.74,3.88,95,3,"KD5D_1_17_787","V","Mixed",10,129,"VISIT3","HP9","H",9,3,2.19722457733622,3
"1012","KD6D_",18,1,2018,"30_","9_",788,22.94,20.42,4.36,99,2,"KD6D_30_9_788","V","HB",7,184,"VISIT3","HN60","H",60,3,4.0943445622221,7.74596669241483
"1015","KD6D_",18,1,2018,"30_","9_",791,19.7,19.79,3.99,90,3,"KD6D_30_9_791","V","HB",16,200,"VISIT3","HP6","H",6,3,1.79175946922805,2.44948974278318
"1016","KD6D_",18,1,2018,"30_","9_",792,21.27,20.17,4.09,107,3,"KD6D_30_9_792","V","HB",10,147,"VISIT3","HP14","H",14,3,2.63905732961526,3.74165738677394
"1017","KD6D_",18,1,2018,"23_","5_",793,21.23,18.53,3.14,71,1,"KD6D_23_5_793","V","HB",6,199,"VISIT3","HP8","H",8,3,2.07944154167984,2.82842712474619
"1018","KD6D_",18,1,2018,"23_","5_",794,21.22,17.77,3.16,92,2,"KD6D_23_5_794","V","HB",12,111,"VISIT3","HP8","H",8,3,2.07944154167984,2.82842712474619
"1021","KD6D_",18,1,2018,"23_","5_",797,26.79,22.87,5.9,118,3,"KD6D_23_5_797","V","HB",13,160,"VISIT3","HP4","H",4,3,1.38629436111989,2
"1022","KD8_",18,1,2018,"1_","11_",798,19.85,18.91,3.11,109,2,"KD8_1_11_798","V","Mixed",17,160,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"1024","KD8_",18,1,2018,"1_","11_",800,22.07,21.19,4,93,2,"KD8_1_11_800","V","HB",12,281,"VISIT3","HP25","H",25,3,3.2188758248682,5
"1025","KD8_",18,1,2018,"1_","11_",801,20.84,20.09,3.44,79,3,"KD8_1_11_801","V","HB",5,130,"VISIT3","HP23","H",23,3,3.13549421592915,4.79583152331272
"1026","KD8_",18,1,2018,"1_","11_",802,22.84,21.27,4.03,95,3,"KD8_1_11_802","V","Mixed",7,76,"VISIT3","HP26","H",26,3,3.25809653802148,5.09901951359278
"1027","KD8_",18,1,2018,"5_","14_",803,20.28,18.7,2.9,113,2,"KD8_5_14_803","V","HB",10,70,"VISIT3","HP20","H",20,3,2.99573227355399,4.47213595499958
"1028","KD8_",18,1,2018,"5_","14_",804,20.4,20.63,3.24,104,2,"KD8_5_14_804","V","HB",6,86,"VISIT3","HP7","H",7,3,1.94591014905531,2.64575131106459
"1029","KD6C_",19,1,2018,"1_","2_",805,24.09,22.07,4.51,122,3,"KD6C_1_2_805","V","Mixed",17,200,"VISIT3","SP20","S",20,3,2.99573227355399,4.47213595499958
"1030","KD6C_",19,1,2018,"1_","2_",806,20.35,19.74,3.43,104,3,"KD6C_1_2_806","V","Mixed",13,121,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"1031","KD6C_",19,1,2018,"1_","2_",807,23.58,20.91,4.6,122,3,"KD6C_1_2_807","V","Mixed",9,53,"VISIT3","HP8","H",8,3,2.07944154167984,2.82842712474619
"1032","KD6C_",19,1,2018,"1_","2_",808,21.02,18.84,3.29,117,2,"KD6C_1_2_808","V","Mixed",9,70,"VISIT3","SP3","S",3,3,1.09861228866811,1.73205080756888
"1033","KD6C_",19,1,2018,"1_","3_",809,18.98,19.6,2.78,41,1,"KD6C_1_3_809","V","Mixed",13,270,"VISIT3","HP38","H",38,3,3.63758615972639,6.16441400296898
"1034","KD6C_",19,1,2018,"1_","3_",810,19.93,19.26,3.62,95,2,"KD6C_1_3_810","V","Mixed",6,92,"VISIT3","HP4","H",4,3,1.38629436111989,2
"1035","KD6C_",19,1,2018,"1_","3_",811,22.38,19.24,3.9,115,2,"KD6C_1_3_811","V","Mixed",6,80,"VISIT3","HP5","H",5,3,1.6094379124341,2.23606797749979
"1036","KD6C_",19,1,2018,"1_","3_",812,23.23,20.74,4.72,124,3,"KD6C_1_3_812","V","Mixed",13,124,"VISIT3","HP11","H",11,3,2.39789527279837,3.3166247903554
"1037","KD6C_",19,1,2018,"1_","5_",813,24.47,21.44,4.31,97,2,"KD6C_1_5_813","V","HB",4,88,"VISIT3","HP28","H",28,3,3.3322045101752,5.29150262212918
"1038","KD6C_",19,1,2018,"1_","5_",814,24.79,20.38,4.6,117,2,"KD6C_1_5_814","V","HB",8,101,"VISIT3","HP2","H",2,3,0.693147180559945,1.4142135623731
"1039","KD8_",19,1,2018,"5_","1_",815,19.01,17.53,2.67,48,1,"KD8_5_1_815","V","HB",6,126,"VISIT3","HN67","H",67,3,4.20469261939097,8.18535277187245
"1040","KD8_",19,1,2018,"5_","1_",816,18.32,17.89,3.37,75,2,"KD8_5_1_816","V","Mixed",12,136,"VISIT3","SP19","S",19,3,2.94443897916644,4.35889894354067
"1041","KD6C_",19,1,2018,"3_","6_",819,20.16,18.96,3.15,110,3,"KD6C_3_6_819","V","Mixed",5,60,"VISIT3","HP5","H",5,3,1.6094379124341,2.23606797749979
"1044","KD6C_",19,1,2018,"3_","6_",822,16.6,14.44,1.57,75,1,"KD6C_3_6_822","V","Mixed",10,121,"VISIT3","HP16","H",16,3,2.77258872223978,4
"1046","KD6D_",19,1,2018,"30_","12_",824,18.55,17.62,2.82,70,2,"KD6D_30_12_824","V","HB",7,100,"VISIT3","HP6","H",6,3,1.79175946922805,2.44948974278318
"1047","KD6D_",19,1,2018,"30_","12_",825,19.52,17.98,3.37,97,3,"KD6D_30_12_825","V","HB",9,224,"VISIT3","HP6","H",6,3,1.79175946922805,2.44948974278318
"1048","KD6D_",19,1,2018,"30_","12_",826,18.89,17.68,2.58,55,2,"KD6D_30_12_826","V","HB",8,188,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"1049","KD6C_",22,1,2018,"1_","10_",830,20.6,20.09,3.61,77,1,"KD6C_1_10_830","V","Mixed",7,92,"VISIT3","HP15","H",15,3,2.70805020110221,3.87298334620742
"1051","KD6C_",22,1,2018,"1_","10_",832,22.16,20.11,3.74,124,3,"KD6C_1_10_832","V","Mixed",29,292,"VISIT3","SN17","S",17,3,2.83321334405622,4.12310562561766
"1052","KD6C_",22,1,2018,"1_","10_",833,21.43,20.05,3.68,127,3,"KD6C_1_10_833","V","Mixed",10,106,"VISIT3","HP4","H",4,3,1.38629436111989,2
"1053","KD6C_",22,1,2018,"3_","8_",834,15,15.1,1.55,36,1,"KD6C_3_8_834","V","Mixed",3,7,"VISIT3","SP1","S",1,3,0,1
"1054","KD6C_",22,1,2018,"3_","8_",835,16.94,15.86,1.96,70,2,"KD6C_3_8_835","V","Mixed",12,118,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"1055","KD6C_",22,1,2018,"3_","8_",836,16.76,15.99,2.11,86,3,"KD6C_3_8_836","V","Mixed",11,182,"VISIT3","HP7","H",7,3,1.94591014905531,2.64575131106459
"1056","KD6C_",22,1,2018,"3_","8_",837,17.77,16.91,2.94,92,3,"KD6C_3_8_837","V","Mixed",3,37,"VISIT3","SP9","S",9,3,2.19722457733622,3
"1057","KD6C_",22,1,2018,"3_","8_",838,16.44,16.12,2.13,78,2,"KD6C_3_8_838","V","Mixed",15,80,"VISIT3","HP4","H",4,3,1.38629436111989,2
"1058","KD6C_",22,1,2018,"5_","2_",839,20.47,18.22,3.57,96,3,"KD6C_5_2_839","V","Mixed",20,147,"VISIT3","SN8","S",8,3,2.07944154167984,2.82842712474619
"1059","KD6C_",22,1,2018,"5_","2_",840,19.83,18.76,3.42,92,3,"KD6C_5_2_840","V","Mixed",15,146,"VISIT3","HN22","H",22,3,3.09104245335832,4.69041575982343
"1060","KD6C_",22,1,2018,"5_","2_",841,19.15,17.01,2.69,76,2,"KD6C_5_2_841","V","Mixed",4,107,"VISIT3","HN58","H",58,3,4.06044301054642,7.61577310586391
"1062","KD6C_",22,1,2018,"5_","4_",843,14.1,13.17,1.03,65,1,"KD6C_5_4_843","V","Mixed",10,124,"VISIT3","SN15","S",15,3,2.70805020110221,3.87298334620742
"1063","KD6C_",22,1,2018,"5_","4_",844,13.55,12.48,0.99,77,1,"KD6C_5_4_844","V","HB",3,20,"VISIT3","HP8","H",8,3,2.07944154167984,2.82842712474619
"1064","KD6C_",22,1,2018,"5_","4_",845,15.76,16.22,1.63,42,1,"KD6C_5_4_845","V","Mixed",13,105,"VISIT3","SP7","S",7,3,1.94591014905531,2.64575131106459
"1065","KD6C_",22,1,2018,"5_","4_",846,14.2,15.64,1.18,40,1,"KD6C_5_4_846","V","Mixed",7,96,"VISIT3","SP9","S",9,3,2.19722457733622,3
"1066","KD6C_",22,1,2018,"5_","7_",847,15.65,20.76,2.73,51,2,"KD6C_5_7_847","V","Mixed",4,45,"VISIT3","SP11","S",11,3,2.39789527279837,3.3166247903554
"1067","KD6C_",22,1,2018,"5_","7_",848,16.5,18.48,2.66,41,1,"KD6C_5_7_848","V","Mixed",10,145,"VISIT3","HN78","H",78,3,4.35670882668959,8.83176086632785
"1068","KD6C_",22,1,2018,"5_","7_",849,19.53,17.95,3.12,60,1,"KD6C_5_7_849","V","Mixed",13,118,"VISIT3","HP5","H",5,3,1.6094379124341,2.23606797749979
"1069","KD6C_",22,1,2018,"8_","5_",850,22.09,19.2,4.08,106,2,"KD6C_8_5_850","V","Mixed",7,74,"VISIT3","SN19","S",19,3,2.94443897916644,4.35889894354067
"1070","KD6C_",22,1,2018,"8_","5_",851,16.25,19.55,2.58,35,1,"KD6C_8_5_851","V","HB",3,23,"VISIT3","HP10","H",10,3,2.30258509299405,3.16227766016838
"1071","KD6C_",22,1,2018,"8_","5_",852,20.71,20.71,4,94,2,"KD6C_8_5_852","V","Mixed",5,154,"VISIT3","HN54","H",54,3,3.98898404656427,7.34846922834953
"1073","KD8_",22,1,2018,"3_","3_",854,20.17,19.39,3.93,95,3,"KD8_3_3_854","V","Mixed",18,199,"VISIT3","SP3","S",3,3,1.09861228866811,1.73205080756888
"1074","KD8_",22,1,2018,"3_","3_",855,21.73,20.51,4.32,93,2,"KD8_3_3_855","V","Mixed",13,112,"VISIT3","HP12","H",12,3,2.484906649788,3.46410161513775
"1075","KD8_",22,1,2018,"3_","3_",856,17.85,19.82,2.99,45,1,"KD8_3_3_856","V","Mixed",6,65,"VISIT3","SP5","S",5,3,1.6094379124341,2.23606797749979
"1077","KD8_",22,1,2018,"3_","5_",858,19.92,19.57,3.5,79,2,"KD8_3_5_858","V","Mixed",7,82,"VISIT3","HP2","H",2,3,0.693147180559945,1.4142135623731
"1078","KD8_",22,1,2018,"3_","5_",859,21.37,21.1,4.49,113,3,"KD8_3_5_859","V","Mixed",16,174,"VISIT3","SP9","S",9,3,2.19722457733622,3
"1079","KD8_",22,1,2018,"3_","5_",860,9.97,13.14,1.04,18,1,"KD8_3_5_860","V","Mixed",7,55,"VISIT3","HP12","H",12,3,2.484906649788,3.46410161513775
"1080","KD8_",22,1,2018,"3_","8_",861,19.08,18.94,3.16,47,1,"KD8_3_8_861","V","Mixed",5,66,"VISIT3","SP6","S",6,3,1.79175946922805,2.44948974278318
"1082","KD8_",22,1,2018,"3_","8_",863,22.41,20.39,4.42,107,3,"KD8_3_8_863","V","Mixed",14,253,"VISIT3","HP4","H",4,3,1.38629436111989,2
"1083","KD8_",22,1,2018,"3_","8_",864,22.74,20.48,4.7,103,3,"KD8_3_8_864","V","SB",10,167,"VISIT3","SP21","S",21,3,3.04452243772342,4.58257569495584
"1084","KD8_",22,1,2018,"3_","2_",865,19.69,20.27,3.71,58,1,"KD8_3_2_865","V","Mixed",3,35,"VISIT3","SP16","S",16,3,2.77258872223978,4
"1085","KD8_",22,1,2018,"3_","2_",866,21.18,19.47,3.68,105,2,"KD8_3_2_866","V","Mixed",10,123,"VISIT3","HP31","H",31,3,3.43398720448515,5.56776436283002
"1086","KD8_",22,1,2018,"3_","2_",867,21.45,19.92,4.09,95,2,"KD8_3_2_867","V","SB",16,185,"VISIT3","SP15","S",15,3,2.70805020110221,3.87298334620742
"1088","KD8_",23,1,2018,"3_","15_",869,20.14,20.58,3.89,78,2,"KD8_3_15_869","V","HB",9,91,"VISIT3","HP9","H",9,3,2.19722457733622,3
"1089","KD8_",23,1,2018,"3_","15_",870,21.71,20.59,4.65,106,3,"KD8_3_15_870","V","HB",6,67,"VISIT3","HP5","H",5,3,1.6094379124341,2.23606797749979
"1090","KD8_",23,1,2018,"3_","11_",871,14.97,13.69,1.18,67,2,"KD8_3_11_871","V","Mixed",16,158,"VISIT3","HP5","H",5,3,1.6094379124341,2.23606797749979
"1094","KD8_",23,1,2018,"3_","11_",875,14.22,14.02,1.25,73,1,"KD8_3_11_875","V","Mixed",8,46,"VISIT3","HP3","H",3,3,1.09861228866811,1.73205080756888
"1095","KD8_",23,1,2018,"3_","11_",876,13.46,12.02,1.01,70,2,"KD8_3_11_876","V","Mixed",4,43,"VISIT3","SP4","S",4,3,1.38629436111989,2
"1096","KD8_",23,1,2018,"5_","4_",877,16.68,20.42,3.43,61,2,"KD8_5_4_877","V","SB",8,73,"VISIT3","SP7","S",7,3,1.94591014905531,2.64575131106459
"1098","KD8_",23,1,2018,"5_","4_",879,19.48,17.39,2.81,53,1,"KD8_5_4_879","V","Mixed",6,71,"VISIT3","SP6","S",6,3,1.79175946922805,2.44948974278318
"1099","KD8_",23,1,2018,"5_","4_",880,21.99,18.99,4.2,94,3,"KD8_5_4_880","V","Mixed",8,130,"VISIT3","HP11","H",11,3,2.39789527279837,3.3166247903554
"1100","KD8_",23,1,2018,"5_","17_",881,18.89,18.39,2.64,62,2,"KD8_5_17_881","V","HB",4,124,"VISIT3","HP5","H",5,3,1.6094379124341,2.23606797749979
"1101","KD8_",23,1,2018,"5_","17_",882,21.45,20.65,3.96,92,2,"KD8_5_17_882","V","HB",5,66,"VISIT3","HP6","H",6,3,1.79175946922805,2.44948974278318
"1102","KD8_",23,1,2018,"5_","17_",883,19.69,18.7,3.28,94,3,"KD8_5_17_883","V","HB",9,68,"VISIT3","HN21","H",21,3,3.04452243772342,4.58257569495584
"1103","KD8_",23,1,2018,"1_","5_",887,20.17,19.51,3.79,83,2,"KD8_1_5_887","V","Mixed",9,152,"VISIT3","SP13","S",13,3,2.56494935746154,3.60555127546399
"1104","KD8_",23,1,2018,"1_","5_",888,19.75,18.67,3,42,1,"KD8_1_5_888","V","HB",3,54,"VISIT3","HP11","H",11,3,2.39789527279837,3.3166247903554
"1106","KD8_",23,1,2018,"1_","5_",890,18.9,19.13,2.6,44,1,"KD8_1_5_890","V","Mixed",12,183,"VISIT3","SP22","S",22,3,3.09104245335832,4.69041575982343
"1108","KD8_",23,1,2018,"1_","5_",892,20.58,18.96,3.25,55,1,"KD8_1_5_892","V","Mixed",3,29,"VISIT3","SP12","S",12,3,2.484906649788,3.46410161513775
"1109","KD8_",23,1,2018,"1_","8_",893,18.82,16.29,2.53,105,3,"KD8_1_8_893","V","Mixed",10,76,"VISIT3","SP2","S",2,3,0.693147180559945,1.4142135623731
"1110","KD8_",23,1,2018,"1_","8_",894,17.33,14.92,1.85,87,3,"KD8_1_8_894","V","Mixed",13,133,"VISIT3","HP7","H",7,3,1.94591014905531,2.64575131106459
"1111","KD8_",23,1,2018,"1_","8_",895,17.95,15.49,1.93,74,3,"KD8_1_8_895","V","Mixed",11,161,"VISIT3","HP2","H",2,3,0.693147180559945,1.4142135623731
"1113","KD8_",23,1,2018,"1_","14_",897,14.53,12.32,0.8,53,1,"KD8_1_14_897","V","HB",7,69,"VISIT3","HP2","H",2,3,0.693147180559945,1.4142135623731
"1115","KD8_",23,1,2018,"1_","14_",899,17.66,15.59,1.49,65,1,"KD8_1_14_899","V","HB",8,75,"VISIT3","HP2","H",2,3,0.693147180559945,1.4142135623731
"1116","KD8_",23,1,2018,"1_","14_",900,12.71,12.39,0.82,42,1,"KD8_1_14_900","V","HB",11,64,"VISIT3","HP2","H",2,3,0.693147180559945,1.4142135623731
