"","BLOCK","DAY","MONTH","YEAR","ROW","PLANT","FLOWER","Height","Width","Weight","Druplets","Crumbliness","Tag","TREATMENT","POLLINATORS","Total.visits","TOTAL.TIME","variable","value","poll.sp","v.d","ord.v","log.vd","sqrt.vd"
"48","24I_",NA,NA,2017,"46_","24_",760,16.27,17.22,2.45,59,2,"24I_46_24_760","V","Mixed",6,60,"VISIT1","HP10","H",10,1,2.30258509299405,3.16227766016838
"50","24I_",NA,NA,2017,"46_","30_",763,17.26,16.99,2.85,96,2,"24I_46_30_763","V","Mixed",7,221,"VISIT1","HP12","H",12,1,2.484906649788,3.46410161513775
"51","24I_",NA,NA,2017,"46_","30_",764,7.5,11.42,0.67,25,1,"24I_46_30_764","V","HB",1,4,"VISIT1","HP4","H",4,1,1.38629436111989,2
"52","24I_",NA,NA,2017,"46_","37_",765,17.56,15.96,2.38,71,2,"24I_46_37_765","V","HB",3,73,"VISIT1","HN63","H",63,1,4.14313472639153,7.93725393319377
"53","24I_",NA,NA,2017,"46_","37_",766,13.78,15.99,1.5,42,1,"24I_46_37_766","V","Mixed",3,54,"VISIT1","SP15","S",15,1,2.70805020110221,3.87298334620742
"54","24I_",NA,NA,2017,"46_","37_",767,14.69,13.69,1.76,65,2,"24I_46_37_767","V","HB",2,12,"VISIT1","HP8","H",8,1,2.07944154167984,2.82842712474619
"55","24I_",NA,NA,2017,"46_","37_",768,17.98,16.21,2.36,56,2,"24I_46_37_768","V","HB",7,223,"VISIT1","HP86","H",86,1,4.45434729625351,9.2736184954957
"56","KD5D_",18,1,2018,"1_","15_",782,25.44,22.67,5.81,123,3,"KD5D_1_15_782","V","Mixed",14,206,"VISIT1","SP24","S",24,1,3.17805383034795,4.89897948556636
"57","KD5D_",18,1,2018,"1_","15_",783,21.4,22.83,4.74,83,2,"KD5D_1_15_783","V","Mixed",12,262,"VISIT1","HP79","H",79,1,4.36944785246702,8.88819441731559
"58","KD5D_",18,1,2018,"1_","15_",784,24.73,22.01,5.53,105,3,"KD5D_1_15_784","V","Mixed",9,212,"VISIT1","HP117","H",117,1,4.76217393479776,10.816653826392
"59","KD5D_",18,1,2018,"1_","17_",785,20.68,20.17,3.82,87,2,"KD5D_1_17_785","V","Mixed",9,126,"VISIT1","HN70","H",70,1,4.24849524204936,8.36660026534076
"60","KD5D_",18,1,2018,"1_","17_",786,21.77,19.59,3.97,91,3,"KD5D_1_17_786","V","Mixed",12,213,"VISIT1","HP12","H",12,1,2.484906649788,3.46410161513775
"61","KD5D_",18,1,2018,"1_","17_",787,21.21,19.74,3.88,95,3,"KD5D_1_17_787","V","Mixed",10,129,"VISIT1","HP21","H",21,1,3.04452243772342,4.58257569495584
"62","KD6D_",18,1,2018,"30_","9_",788,22.94,20.42,4.36,99,2,"KD6D_30_9_788","V","HB",7,184,"VISIT1","HP16","H",16,1,2.77258872223978,4
"63","KD6D_",18,1,2018,"30_","9_",789,18.64,17.36,3.12,90,2,"KD6D_30_9_789","V","HB",2,8,"VISIT1","HP4","H",4,1,1.38629436111989,2
"65","KD6D_",18,1,2018,"30_","9_",791,19.7,19.79,3.99,90,3,"KD6D_30_9_791","V","HB",16,200,"VISIT1","HP10","H",10,1,2.30258509299405,3.16227766016838
"66","KD6D_",18,1,2018,"30_","9_",792,21.27,20.17,4.09,107,3,"KD6D_30_9_792","V","HB",10,147,"VISIT1","HP18","H",18,1,2.89037175789616,4.24264068711928
"67","KD6D_",18,1,2018,"23_","5_",793,21.23,18.53,3.14,71,1,"KD6D_23_5_793","V","HB",6,199,"VISIT1","HN119","H",119,1,4.77912349311153,10.9087121146357
"68","KD6D_",18,1,2018,"23_","5_",794,21.22,17.77,3.16,92,2,"KD6D_23_5_794","V","HB",12,111,"VISIT1","HP16","H",16,1,2.77258872223978,4
"71","KD6D_",18,1,2018,"23_","5_",797,26.79,22.87,5.9,118,3,"KD6D_23_5_797","V","HB",13,160,"VISIT1","HP5","H",5,1,1.6094379124341,2.23606797749979
"72","KD8_",18,1,2018,"1_","11_",798,19.85,18.91,3.11,109,2,"KD8_1_11_798","V","Mixed",17,160,"VISIT1","HP16","H",16,1,2.77258872223978,4
"74","KD8_",18,1,2018,"1_","11_",800,22.07,21.19,4,93,2,"KD8_1_11_800","V","HB",12,281,"VISIT1","HN154","H",154,1,5.03695260241363,12.4096736459909
"75","KD8_",18,1,2018,"1_","11_",801,20.84,20.09,3.44,79,3,"KD8_1_11_801","V","HB",5,130,"VISIT1","HP3","H",3,1,1.09861228866811,1.73205080756888
"76","KD8_",18,1,2018,"1_","11_",802,22.84,21.27,4.03,95,3,"KD8_1_11_802","V","Mixed",7,76,"VISIT1","SP3","S",3,1,1.09861228866811,1.73205080756888
"77","KD8_",18,1,2018,"5_","14_",803,20.28,18.7,2.9,113,2,"KD8_5_14_803","V","HB",10,70,"VISIT1","HP4","H",4,1,1.38629436111989,2
"78","KD8_",18,1,2018,"5_","14_",804,20.4,20.63,3.24,104,2,"KD8_5_14_804","V","HB",6,86,"VISIT1","HP34","H",34,1,3.52636052461616,5.8309518948453
"79","KD6C_",19,1,2018,"1_","2_",805,24.09,22.07,4.51,122,3,"KD6C_1_2_805","V","Mixed",17,200,"VISIT1","SP14","S",14,1,2.63905732961526,3.74165738677394
"80","KD6C_",19,1,2018,"1_","2_",806,20.35,19.74,3.43,104,3,"KD6C_1_2_806","V","Mixed",13,121,"VISIT1","HP24","H",24,1,3.17805383034795,4.89897948556636
"81","KD6C_",19,1,2018,"1_","2_",807,23.58,20.91,4.6,122,3,"KD6C_1_2_807","V","Mixed",9,53,"VISIT1","HP8","H",8,1,2.07944154167984,2.82842712474619
"82","KD6C_",19,1,2018,"1_","2_",808,21.02,18.84,3.29,117,2,"KD6C_1_2_808","V","Mixed",9,70,"VISIT1","HP11","H",11,1,2.39789527279837,3.3166247903554
"83","KD6C_",19,1,2018,"1_","3_",809,18.98,19.6,2.78,41,1,"KD6C_1_3_809","V","Mixed",13,270,"VISIT1","SP17","S",17,1,2.83321334405622,4.12310562561766
"84","KD6C_",19,1,2018,"1_","3_",810,19.93,19.26,3.62,95,2,"KD6C_1_3_810","V","Mixed",6,92,"VISIT1","HP29","H",29,1,3.36729582998647,5.3851648071345
"85","KD6C_",19,1,2018,"1_","3_",811,22.38,19.24,3.9,115,2,"KD6C_1_3_811","V","Mixed",6,80,"VISIT1","HP10","H",10,1,2.30258509299405,3.16227766016838
"86","KD6C_",19,1,2018,"1_","3_",812,23.23,20.74,4.72,124,3,"KD6C_1_3_812","V","Mixed",13,124,"VISIT1","HP30","H",30,1,3.40119738166216,5.47722557505166
"87","KD6C_",19,1,2018,"1_","5_",813,24.47,21.44,4.31,97,2,"KD6C_1_5_813","V","HB",4,88,"VISIT1","HN21","H",21,1,3.04452243772342,4.58257569495584
"88","KD6C_",19,1,2018,"1_","5_",814,24.79,20.38,4.6,117,2,"KD6C_1_5_814","V","HB",8,101,"VISIT1","HN24","H",24,1,3.17805383034795,4.89897948556636
"89","KD8_",19,1,2018,"5_","1_",815,19.01,17.53,2.67,48,1,"KD8_5_1_815","V","HB",6,126,"VISIT1","HP27","H",27,1,3.29583686600433,5.19615242270663
"90","KD8_",19,1,2018,"5_","1_",816,18.32,17.89,3.37,75,2,"KD8_5_1_816","V","Mixed",12,136,"VISIT1","SP13","S",13,1,2.56494935746154,3.60555127546399
"91","KD6C_",19,1,2018,"3_","6_",819,20.16,18.96,3.15,110,3,"KD6C_3_6_819","V","Mixed",5,60,"VISIT1","HP11","H",11,1,2.39789527279837,3.3166247903554
"94","KD6C_",19,1,2018,"3_","6_",822,16.6,14.44,1.57,75,1,"KD6C_3_6_822","V","Mixed",10,121,"VISIT1","HP3","H",3,1,1.09861228866811,1.73205080756888
"95","KD6D_",19,1,2018,"30_","12_",823,11.29,17.09,1.04,20,1,"KD6D_30_12_823","V","HB",2,96,"VISIT1","HN57","H",57,1,4.04305126783455,7.54983443527075
"96","KD6D_",19,1,2018,"30_","12_",824,18.55,17.62,2.82,70,2,"KD6D_30_12_824","V","HB",7,100,"VISIT1","HN43","H",43,1,3.76120011569356,6.557438524302
"97","KD6D_",19,1,2018,"30_","12_",825,19.52,17.98,3.37,97,3,"KD6D_30_12_825","V","HB",9,224,"VISIT1","HP58","H",58,1,4.06044301054642,7.61577310586391
"98","KD6D_",19,1,2018,"30_","12_",826,18.89,17.68,2.58,55,2,"KD6D_30_12_826","V","HB",8,188,"VISIT1","HP4","H",4,1,1.38629436111989,2
"99","KD6C_",22,1,2018,"1_","10_",830,20.6,20.09,3.61,77,1,"KD6C_1_10_830","V","Mixed",7,92,"VISIT1","SP8","S",8,1,2.07944154167984,2.82842712474619
"101","KD6C_",22,1,2018,"1_","10_",832,22.16,20.11,3.74,124,3,"KD6C_1_10_832","V","Mixed",29,292,"VISIT1","SP6","S",6,1,1.79175946922805,2.44948974278318
"102","KD6C_",22,1,2018,"1_","10_",833,21.43,20.05,3.68,127,3,"KD6C_1_10_833","V","Mixed",10,106,"VISIT1","HP31","H",31,1,3.43398720448515,5.56776436283002
"103","KD6C_",22,1,2018,"3_","8_",834,15,15.1,1.55,36,1,"KD6C_3_8_834","V","Mixed",3,7,"VISIT1","SP3","S",3,1,1.09861228866811,1.73205080756888
"104","KD6C_",22,1,2018,"3_","8_",835,16.94,15.86,1.96,70,2,"KD6C_3_8_835","V","Mixed",12,118,"VISIT1","HP39","H",39,1,3.66356164612965,6.2449979983984
"105","KD6C_",22,1,2018,"3_","8_",836,16.76,15.99,2.11,86,3,"KD6C_3_8_836","V","Mixed",11,182,"VISIT1","HN40","H",40,1,3.68887945411394,6.32455532033676
"106","KD6C_",22,1,2018,"3_","8_",837,17.77,16.91,2.94,92,3,"KD6C_3_8_837","V","Mixed",3,37,"VISIT1","HP2","H",2,1,0.693147180559945,1.4142135623731
"107","KD6C_",22,1,2018,"3_","8_",838,16.44,16.12,2.13,78,2,"KD6C_3_8_838","V","Mixed",15,80,"VISIT1","SP3","S",3,1,1.09861228866811,1.73205080756888
"108","KD6C_",22,1,2018,"5_","2_",839,20.47,18.22,3.57,96,3,"KD6C_5_2_839","V","Mixed",20,147,"VISIT1","SP10","S",10,1,2.30258509299405,3.16227766016838
"109","KD6C_",22,1,2018,"5_","2_",840,19.83,18.76,3.42,92,3,"KD6C_5_2_840","V","Mixed",15,146,"VISIT1","SP10","S",10,1,2.30258509299405,3.16227766016838
"110","KD6C_",22,1,2018,"5_","2_",841,19.15,17.01,2.69,76,2,"KD6C_5_2_841","V","Mixed",4,107,"VISIT1","SN27","S",27,1,3.29583686600433,5.19615242270663
"111","KD6C_",22,1,2018,"5_","2_",842,19.27,17.91,3.27,92,3,"KD6C_5_2_842","V","SB",2,41,"VISIT1","SP36","S",36,1,3.58351893845611,6
"112","KD6C_",22,1,2018,"5_","4_",843,14.1,13.17,1.03,65,1,"KD6C_5_4_843","V","Mixed",10,124,"VISIT1","SP5","S",5,1,1.6094379124341,2.23606797749979
"113","KD6C_",22,1,2018,"5_","4_",844,13.55,12.48,0.99,77,1,"KD6C_5_4_844","V","HB",3,20,"VISIT1","HP3","H",3,1,1.09861228866811,1.73205080756888
"114","KD6C_",22,1,2018,"5_","4_",845,15.76,16.22,1.63,42,1,"KD6C_5_4_845","V","Mixed",13,105,"VISIT1","SP7","S",7,1,1.94591014905531,2.64575131106459
"115","KD6C_",22,1,2018,"5_","4_",846,14.2,15.64,1.18,40,1,"KD6C_5_4_846","V","Mixed",7,96,"VISIT1","SP11","S",11,1,2.39789527279837,3.3166247903554
"116","KD6C_",22,1,2018,"5_","7_",847,15.65,20.76,2.73,51,2,"KD6C_5_7_847","V","Mixed",4,45,"VISIT1","HP3","H",3,1,1.09861228866811,1.73205080756888
"117","KD6C_",22,1,2018,"5_","7_",848,16.5,18.48,2.66,41,1,"KD6C_5_7_848","V","Mixed",10,145,"VISIT1","HP2","H",2,1,0.693147180559945,1.4142135623731
"118","KD6C_",22,1,2018,"5_","7_",849,19.53,17.95,3.12,60,1,"KD6C_5_7_849","V","Mixed",13,118,"VISIT1","HP2","H",2,1,0.693147180559945,1.4142135623731
"119","KD6C_",22,1,2018,"8_","5_",850,22.09,19.2,4.08,106,2,"KD6C_8_5_850","V","Mixed",7,74,"VISIT1","HP3","H",3,1,1.09861228866811,1.73205080756888
"120","KD6C_",22,1,2018,"8_","5_",851,16.25,19.55,2.58,35,1,"KD6C_8_5_851","V","HB",3,23,"VISIT1","HP9","H",9,1,2.19722457733622,3
"121","KD6C_",22,1,2018,"8_","5_",852,20.71,20.71,4,94,2,"KD6C_8_5_852","V","Mixed",5,154,"VISIT1","HP6","H",6,1,1.79175946922805,2.44948974278318
"122","KD8_",22,1,2018,"3_","3_",853,18.6,17.59,2.72,86,2,"KD8_3_3_853","V","HB",1,5,"VISIT1","HP5","H",5,1,1.6094379124341,2.23606797749979
"123","KD8_",22,1,2018,"3_","3_",854,20.17,19.39,3.93,95,3,"KD8_3_3_854","V","Mixed",18,199,"VISIT1","SP4","S",4,1,1.38629436111989,2
"124","KD8_",22,1,2018,"3_","3_",855,21.73,20.51,4.32,93,2,"KD8_3_3_855","V","Mixed",13,112,"VISIT1","HP10","H",10,1,2.30258509299405,3.16227766016838
