"","Species","SHOOT","Grow.con","Block","Year","Date","Row","Plant.number","Tag","DONOR","TREATMENT","SPEC.COM","FS","TVN","Pick.date","Size","Fresh.wgt","Ripe.time","POLL","seed.number","Firmness","Dryness","variable","value","poll.sp","poll.type","v.d","ord.v","log.vd","spp"
"11","EG","F","Ground","SFI",2017,"4/5/17",8,16,"SF-J-23","V","V","HB",1,1,"20/7/17",14.0584,1.26,77,1,NA,280.3181808,"","Visitor1","H P 10","H","P",10,1,2.30258509299405,"B"
"12","EG","F","Ground","S1S",2017,"11/5/17",4,15,"S1S-L-2","V","V","HB",1,1,"25/7/17",15.5527,1.547,75,1,NA,250.6846373,"","Visitor1","H N 45","H","N",45,1,3.80666248977032,"B"
"13","EG","F","Ground","GR12",2017,"4/4/17",14,17,"GR-L-5","V","V","HB",1,1,"4/7/17",12.1286,0.842507027,91,1,NA,217.5579076,"","Visitor1","H N 16","H","N",16,1,2.77258872223978,"B"
"14","EG","F","Ground","GR12",2017,"5/4/17",14,9,"GR-L-6","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 18","H","N",18,1,2.89037175789616,"B"
"15","EG","F","Ground","GR12",2017,"7/4/17",14,11,"GR-M-10","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"16","EG","F","Ground","GR12",2017,"8/4/17",14,14,"GR-M-12","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 5","H","N",5,1,1.6094379124341,"B"
"17","EG","F","Ground","GR12",2017,"8/4/17",14,14,"GR-M-13","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 22","H","N",22,1,3.09104245335832,"B"
"18","EG","F","Ground","GR12",2017,"7/4/17",14,31,"GR-V-27","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 6","H","N",6,1,1.79175946922805,"B"
"19","EG","F","Ground","GR12",2017,"7/4/17",14,36,"GR-L-7","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"20","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-1","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 4","H","N",4,1,1.38629436111989,"B"
"21","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-2","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 10","H","N",10,1,2.30258509299405,"B"
"22","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-3","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 2","H","N",2,1,0.693147180559945,"B"
"23","EG","F","Ground","S1S",2017,"11/5/17",4,16,"S1S-J-73","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"24","EG","F","Ground","SFI",2017,"8/5/17",6,20,"SF-A-27","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 38","H","N",38,1,3.63758615972639,"B"
"25","EG","F","Ground","SFI",2017,"3/5/17",8,30,"SF-J-11","V","V","HB",0,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 5","H","N",5,1,1.6094379124341,"B"
"26","EG","F","Ground","GR12",2017,"5/4/17",14,31,"GR-V-14","V","V","HB",1,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 10","H","N",10,1,2.30258509299405,"B"
"27","EG","F","Ground","S1S",2017,"11/5/17",4,15,"S1S-L-3","V","V","HB",1,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 1","H","N",1,1,0,"B"
"28","EG","F","Ground","S1S",2017,"12/5/17",5,8,"S1S-LK-15","V","V","HB",1,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 17","H","N",17,1,2.83321334405622,"B"
"29","EG","F","Ground","S1S",2017,"15/5/17",5,26,"S1S-L-10","V","V","HB",1,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 10","H","N",10,1,2.30258509299405,"B"
"30","EG","F","Ground","S1S",2017,"16/5/17",6,4,"S1S-L-20","V","V","HB",1,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 13","H","N",13,1,2.56494935746154,"B"
"31","EG","F","Ground","SFI",2017,"8/5/17",6,18,"SF-J-53","V","V","HB",1,1,NA,NA,NA,NA,1,NA,NA,"","Visitor1","H N 10","H","N",10,1,2.30258509299405,"B"
